17:41:29.784 [main] DEBUG oct1_log4j.LogFileImpl - i am from debug
17:41:29.838 [main] ERROR oct1_log4j.LogFileImpl - i am from error
17:41:29.838 [main] INFO  oct1_log4j.LogFileImpl - i am from info
18:30:46.335 [main] INFO  oct1_log4j.LogFileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (41c7f5afd124d6c30871cbfc8749844a)] -> xpath: //button[@id='submitMessage']]
18:30:52.785 [main] INFO  oct1_log4j.LogFileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (41c7f5afd124d6c30871cbfc8749844a)] -> xpath: //button[@id='submitMessage']]
18:30:52.787 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: //li[text()='The message cannot be blank.']
18:30:52.867 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: //li[text()='The message cannot be blank.']
18:30:52.919 [main] INFO  oct1_log4j.LogFileImpl - TestCase002 is pass
18:30:52.923 [main] INFO  oct1_log4j.LogFileImpl - Test Successfully Finished : TestCase002
18:31:24.355 [main] INFO  oct1_log4j.LogFileImpl - New Test Started : testcase001
18:31:24.357 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: (//a[@class='sf-with-ul'])[1]
18:31:24.785 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: (//a[@class='sf-with-ul'])[1]
18:31:24.785 [main] INFO  oct1_log4j.LogFileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: (//a[@class='sf-with-ul'])[1]]
18:31:29.350 [main] INFO  oct1_log4j.LogFileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: (//a[@class='sf-with-ul'])[1]]
18:31:29.350 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: (//a[@class='product-name'])[3]
18:31:29.398 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: (//a[@class='product-name'])[3]
18:31:29.398 [main] INFO  oct1_log4j.LogFileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: (//a[@class='product-name'])[3]]
18:31:33.354 [main] INFO  oct1_log4j.LogFileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: (//a[@class='product-name'])[3]]
18:31:33.355 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: //button[@class='exclusive']
18:31:33.416 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: //button[@class='exclusive']
18:31:33.416 [main] INFO  oct1_log4j.LogFileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //button[@class='exclusive']]
18:31:33.564 [main] INFO  oct1_log4j.LogFileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //button[@class='exclusive']]
18:31:33.565 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: //a[@class='btn btn-default button button-medium']
18:31:33.666 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: //a[@class='btn btn-default button button-medium']
18:31:33.668 [main] INFO  oct1_log4j.LogFileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //a[@class='btn btn-default button button-medium']]
18:31:38.912 [main] INFO  oct1_log4j.LogFileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //a[@class='btn btn-default button button-medium']]
18:31:38.913 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: //a[@class='button btn btn-default standard-checkout button-medium']
18:31:38.958 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: //a[@class='button btn btn-default standard-checkout button-medium']
18:31:38.958 [main] INFO  oct1_log4j.LogFileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //a[@class='button btn btn-default standard-checkout button-medium']]
18:31:43.045 [main] INFO  oct1_log4j.LogFileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //a[@class='button btn btn-default standard-checkout button-medium']]
18:31:43.050 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: //input[@id='email']
18:31:43.091 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: //input[@id='email']
18:31:43.856 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: //input[@id='passwd']
18:31:43.903 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: //input[@id='passwd']
18:31:44.219 [main] INFO  oct1_log4j.LogFileImpl - Trying to find Element By : By.xpath: //button[@id='SubmitLogin']
18:31:44.262 [main] INFO  oct1_log4j.LogFileImpl - Found Element By : By.xpath: //button[@id='SubmitLogin']
18:31:44.263 [main] INFO  oct1_log4j.LogFileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (11717c867dbb1adbf1f73b2227e31a49)] -> xpath: //button[@id='SubmitLogin']]
